"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"500","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","668","731","91.38%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"501","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","132","207","63.77%","25","27","92.59%","16","16","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"502","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","729","735","99.18%","85","90","94.44%","77","77","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"503","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","316","317","99.68%","36","36","100.00%","34","34","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"504","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","245","336","72.92%","39","50","78.00%","22","30","73.33%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"505","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","547","674","81.16%","72","72","100.00%","32","46","69.57%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"506","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","250","328","76.22%","60","101","59.41%","22","37","59.46%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"507","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","208","219","94.98%","75","86","87.21%","47","49","95.92%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"508","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","299","481","62.16%"," - "," - ","-"," - "," - ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"509","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","143","155","92.26%","9","9","100.00%","8","8","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"510","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","343","1,169","29.34%","99","111","89.19%","24","32","75.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"511","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","275","279","98.57%","38","40","95.00%","17","18","94.44%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"512","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","213","226","94.25%","52","55","94.55%","30","30","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"513","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","192","209","91.87%","176","192","91.67%","26","26","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"514","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","173","186","93.01%","93","94","98.94%","72","73","98.63%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"515","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RAX","NIL RETURN","NIL RETURN","NIL RETURN"," NIL RETURN "," NIL RETURN ","NIL RETURN"," NIL RETURN "," NIL RETURN ","NIL RETURN"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"516","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","343","367","93.46%","78","78","100.00%","74","75","98.67%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"517","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","31","32","96.88%","5","6","83.33%","2","2","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"518","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","1","1","100.00%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"519","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","246","249","98.80%","36","38","94.74%","18","19","94.74%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"520","MEDWAY NHS FOUNDATION TRUST","RPA","243","268","90.67%","42","42","100.00%","30","30","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"521","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","-","-","-"," - "," - ","-"," - "," - ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"522","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","203","209","97.13%","31","32","96.88%","22","22","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"523","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","40","144","27.78%","4","5","80.00%","1","4","25.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"524","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","547","597","91.62%","44","44","100.00%","44","44","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"525","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","379","407","93.12%","105","105","100.00%","30","30","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"526","NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST","RJL","218","449","48.55%","42","42","100.00%","3","42","7.14%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"527","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","371","427","86.89%","61","89","68.54%","10","10","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"528","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","17","17","100.00%","1","1","100.00%"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"529","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","476","514","92.61%","302","309","97.73%","59","65","90.77%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"530","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","1","7","14.29%","2","2","100.00%","2","2","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"531","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","426","452","94.25%","157","165","95.15%","74","74","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"532","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","24","32","75.00%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"533","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","252","535","47.10%","97","251","38.65%","108","112","96.43%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"534","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","190","209","91%","190","190","100%","77","77","100%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"535","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","233","246","94.72%","35","35","100.00%","20","21","95.24%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"536","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","223","223","100.00%","46","47","97.87%","7","7","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"537","SALISBURY NHS FOUNDATION TRUST","RNZ","92","110","84%","12","13","92%","11","12","92%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"538","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","668","675","98.96%","247","247","100.00%","155","155","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"539","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","134","464","28.88%","10","11","90.91%","12","15","80.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"540","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","129","358","36.03%","61","116","52.59%","8","15","53.33%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"541","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","514","545","94.31%","108","114","94.74%","41","45","91.11%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"542","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","199","209","95.22%","66","119","55.46%","27","27","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"543","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","280","297","94.28%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"544","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","359","397","90.43%","125","130","96.15%","67","69","97.10%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"545","STOCKPORT NHS FOUNDATION TRUST","RWJ","14","453","3.09%","7","8","87.50%","2","2","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"546","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","213","290","73.45%","4","13","30.77%","4","4","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"547","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","218","425","51.29%","31","31","100.00%","6","6","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"548","THE CHRISTIE NHS FOUNDATION TRUST","RBV","15","16","93.75%","2","2","100.00%","2","2","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"549","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","10","13","76.92%"," -   ","1","0.00%"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"550","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","538","542","99.26%","135","135","100.00%","44","44","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"551","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","1","244","0.41%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"552","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","487","535","91.03%","68","71","95.77%","60","64","93.75%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"553","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","232","252","92.06%","48","48","100.00%","48","48","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"554","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","127","210","60.48%","48","62","77.42%","1","1","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"555","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","338","504","67.06%","54","70","77.14%","9","27","33.33%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"556","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","21","21","100.00%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"557","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","2","5","40.00%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"558","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","8","8","100.00%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"559","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","118","129","91.47%","19","19","100.00%","6","6","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"560","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","274","274","100.00%","37","37","100.00%","26","26","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"561","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","605","628","96.34%","136","136","100.00%","58","59","98.31%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"562","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","472","482","97.93%","33","33","100.00%","8","8","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"563","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","162","205","79.02%","23","57","40.35%","12","18","66.67%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"564","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","298","310","96.13%","40","43","93.02%","13","21","61.90%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"565","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","391","421","92.87%","27","27","100.00%","8","8","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"566","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","353","359","98.33%","41","41","100.00%","33","33","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"567","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","268","708","37.85%","69","89","77.53%","45","48","93.75%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"568","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","NIL RETURN"," NIL RETURN "," NIL RETURN ","NIL RETURN"," NIL RETURN "," NIL RETURN ","NIL RETURN"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"569","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","278","316","87.97%","30","30","100.00%","9","9","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"570","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","106","268","40%","0","0","-","0","0","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"571","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","718","765","93.86%","203","207","98.07%","106","106","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"572","","Total ","24,046","30,069","79.97%","4,719","5,310","88.87%","2,208","2,391","92.35%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"573","","","","","","","","","","",""," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"574","","","","","","","","","","",""," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"575","","","","","","","","","","",""," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"576","","","","","","","","","","",""," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"577","Non-Foundation Trusts",""," July 2013 ","","","","","","","",""," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"578","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed"," Number of cases referred "," Number of cases with positive or inconclusive diagnostic assessment ","Percentage of cases referred"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
