"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"621","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","270","278","97%","69","69","100%","15","15","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"622","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","1153","1490","77%","91","91","100%","54","54","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"623","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","453","716","63%","339","369","92%","130","137","95%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"624","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","511","567","90%","37","41","90%","30","30","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"625","PORTSMOUTH HOSPITALS NHS TRUST","RHU","569","697","82%","98","98","100%","51","51","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"626","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","384","391","98%","51","51","100%","25","25","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"627","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","370","512","72%","21","54","39%","17","20","85%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"628","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","1","3","33%","1","1","100%","1","1","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"629","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","643","701","92%","41","43","95%","11","11","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"630","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","134","134","100%","13","13","100%","8","8","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"631","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","565","611","92%","28","28","100%","2","3","67%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"632","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","55","313","18%","9","21","43%","6","6","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"633","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","355","362","98%","49","51","96%","16","17","94%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"634","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","348","375","93%","38","39","97%","38","38","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"635","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"636","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","400","404","99%","39","39","100%","38","38","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"637","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","162","172","94%","29","30","97%","16","16","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"638","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","735","915","80%","474","629","75%","85","85","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"639","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","452","452","100%","170","170","100%","55","55","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"640","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","487","510","95%","62","62","100%","58","58","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"641","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","937","993","94%","268","272","99%","75","75","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"642","WALSALL HEALTHCARE NHS TRUST","RBK","417","482","87%","44","44","100%","20","22","91%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"643","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","598","602","99%","20","22","91%","12","12","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"644","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","176","194","91%","13","14","93%","12","12","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"645","WESTON AREA HEALTH NHS TRUST","RA3","-","-","-","-","-","-","-","-","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"646","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","321","715","45%","54","73","74%","38","38","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"647","WYE VALLEY NHS TRUST","RLQ","172","188","91%","5","5","100%","5","5","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"648","","Total "," 21,576 "," 25,154 ","85.8%"," 4,245 "," 4,691 ","90.5%"," 1,815 "," 1,892 ","95.9%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"649","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"650","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"651","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"652","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"653","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"654","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"655","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"656","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"657","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","278","378","74%","33","45","73%","11","11","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"658","AIREDALE NHS FOUNDATION TRUST","RCF","205","227","90%","22","22","100%","4","4","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"659","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","283","294","96%","26","26","100%","26","26","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"660","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","253","263","96%","48","51","94%","4","4","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"661","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","486","510","95%","486","510","95%","8","8","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"662","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"663","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","281","478","59%","38","38","100%","3","24","13%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"664","BOLTON NHS FOUNDATION TRUST","RMC","271","288","94%","28","28","100%","18","18","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"665","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","328","328","100%","6","6","100%","6","6","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"666","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","371","374","99%","5","5","100%","4","4","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"667","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","441","457","96%","81","81","100%","48","48","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"668","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","581","606","96%","73","74","99%","71","71","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"669","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","365","391","93%","10","10","100%","8","8","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"670","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","122","139","88%","25","25","100%","25","25","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"671","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","296","301","98%","41","41","100%","31","31","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"672","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","247","248","100%","59","59","100%","46","46","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"673","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","499","501","100%","166","166","100%","87","87","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"674","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","266","282","94%","11","12","92%","10","10","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"675","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","598","649","92%","27","29","93%","9","10","90%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"676","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","466","508","92%","14","39","36%","1","7","14%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"677","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","638","707","90%","11","11","100%","3","3","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"678","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","91","269","34%","21","21","100%","20","20","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"679","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","644","649","99%","69","73","95%","50","50","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"680","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","358","358","100%","30","30","100%","25","25","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"681","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","238","260","92%","51","51","100%","27","27","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"682","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","519","606","86%","66","66","100%","28","28","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"683","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","376","414","91%","58","61","95%","22","22","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"684","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","189","202","94%","77","77","100%","25","25","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"685","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","535","562","95%","142","142","100%","21","23","91%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"686","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","134","140","96%","16","16","100%","13","13","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"687","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","993","1252","79%","141","151","93%","14","24","58%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"688","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","404","444","91%","33","36","92%","6","6","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"689","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","197","214","92%","31","32","97%","11","11","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"690","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","95","101","94%","95","95","100%","6","6","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"691","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","542","581","93%","134","134","100%","111","111","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"692","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","367","385","95%","120","121","99%","94","100","94%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"693","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","29","31","94%","1","1","100%","0","0","-"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"694","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","1","1","100%","0","0","-","0","0","-"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"695","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","289","299","97%","36","37","97%","18","18","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"696","MEDWAY NHS FOUNDATION TRUST","RPA","286","317","90%","82","86","95%","69","69","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"697","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","186","197","94%","30","30","100%","30","30","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"698","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","151","160","94%","18","20","90%","17","17","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"699","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","229","254","90%","21","21","100%","10","11","91%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"700","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"701","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","616","639","96%","59","62","95%","59","59","100%"," August 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
