"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","month","url"
"417","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","375","380","99%","34","36","94%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"418","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","12","12","100%","0","0","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"419","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","493","584","84%","302","304","99%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"420","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","648","651","100%","111","111","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"421","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","5","5","100%","0","0","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"422","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","357","387","92%","78","78","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"423","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","22","22","100%","1","1","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"424","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","482","503","96%","478","478","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"425","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","571","623","92%","222","222","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"426","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","319","331","96%","39","40","98%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"427","ROYAL UNITED HOSPITAL BATH NHS FOUNDATION TRUST","RD1","546","601","91%","40","40","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"428","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","274","274","100%","49","49","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"429","SALISBURY NHS FOUNDATION TRUST","RNZ","100","110","91%","12","13","92%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"430","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","725","740","98%","256","256","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"431","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","519","575","90%","32","32","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"432","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","117","224","52%","19","31","61%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"433","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","484","505","96%","65","69","94%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"434","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","60","211","28%","2","11","18%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"435","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","211","227","93%","31","33","94%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"436","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","359","365","98%","28","28","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"437","STOCKPORT NHS FOUNDATION TRUST","RWJ","392","410","96%","21","24","88%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"438","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","360","361","100%","10","10","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"439","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","238","377","63%","39","39","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"440","THE CHRISTIE NHS FOUNDATION TRUST","RBV","15","16","94%","3","3","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"441","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"442","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","496","504","98%","64","64","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"443","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","132","158","84%","12","17","71%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"444","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","298","330","90%","14","15","93%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"445","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","218","241","90%","47","47","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"446","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","1","1","100%","0","1","0%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"447","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","237","267","89%","29","31","94%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"448","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","291","564","52%","12","99","12%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"449","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","11","11","100%","2","2","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"450","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","3","3","100%","0","0","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"451","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","8","8","100%","0","0","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"452","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","91","91","100%","22","22","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"453","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","314","322","98%","44","44","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"454","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","567","588","96%","139","139","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"455","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","526","546","96%","31","31","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"456","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","296","358","83%","64","69","93%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"457","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","289","330","88%","32","32","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"458","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","342","358","96%","30","30","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"459","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","313","346","90%","20","20","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"460","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","735","753","98%","61","64","95%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"461","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","565","621","91%","163","164","99%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"462","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","304","317","96%","51","51","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"463","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","112","290","39%","4","4","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"464","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","746","768","97%","91","91","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"465","ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST","RJ7","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"466","","Total "," 30,750 "," 33,711 ","91.2%"," 5,392 "," 5,701 ","94.6%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"467","","","","","","","",""," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"468","Non-Foundation Trusts",""," June 2015 ","","","","",""," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"469","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases with diagnostic assessment"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"470","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","573","591","97%","50","52","96%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"471","BARTS HEALTH NHS TRUST","R1H","671","777","86%","72","109","66%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"472","BEDFORD HOSPITAL NHS TRUST","RC1","217","238","91%","24","24","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"473","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","144","155","93%","35","35","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"474","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","323","357","90%","62","62","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"475","CROYDON HEALTH SERVICES NHS TRUST","RJ6","349","384","91%","46","50","92%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"476","DARTFORD AND GRAVESHAM NHS TRUST","RN7","162","167","97%","16","16","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"477","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","391","392","100%","130","130","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"478","EAST CHESHIRE NHS TRUST","RJN","256","279","92%","25","26","96%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"479","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","522","553","94%","131","137","96%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"480","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","357","445","80%","73","75","97%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"481","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","341","355","96%","63","69","91%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"482","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","180","192","94%","64","64","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"483","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","181","181","100%","52","52","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"484","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","458","497","92%","57","57","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"485","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","336","366","92%","195","209","93%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"486","IPSWICH HOSPITAL NHS TRUST","RGQ","394","401","98%","41","43","95%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"487","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"488","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","601","601","100%","42","42","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"489","LEWISHAM AND GREENWICH NHS TRUST","RJ2","584","584","100%","77","77","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"490","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","511","522","98%","78","79","99%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"491","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","329","381","86%","9","17","53%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"492","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","382","394","97%","151","151","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"493","NORTH BRISTOL NHS TRUST","RVJ","621","639","97%","27","30","90%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"494","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","245","498","49%","137","144","95%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"495","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","649","715","91%","334","364","92%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"496","LONDON NORTHWEST HEALTHCARE NHS TRUST","R1K","429","579","74%","42","42","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"497","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","259","289","90%","38","38","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"498","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","234","251","93%","57","63","90%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"499","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","1315","1532","86%","168","168","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"500","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","545","748","73%","434","470","92%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"501","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","463","488","95%","58","64","91%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"502","PORTSMOUTH HOSPITALS NHS TRUST","RHU","683","722","95%","106","106","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
